date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-06-11,110261.8,110384.22,108086.33,108686.63,109235.28,-1.43%,14:36:00,22:27:00,50842662052.1,2160417335559.55,19877621.0
2025-06-10,110295.69,110380.12,108367.71,110257.24,109373.92,-0.03%,19:36:00,15:34:00,54700101508.91,2191694012366.24,19877184.0
2025-06-09,105793.02,110561.42,105400.23,110294.1,107980.82,4.25%,21:31:00,05:39:00,55903193732.46,2192310434433.03,19876665.0
2025-06-08,105617.51,106497.06,105075.33,105793.65,105786.2,0.17%,21:57:00,10:16:00,36626232327.83,2102766527055.86,19876231.0
2025-06-07,104390.64,105972.75,103987.31,105615.63,104980.03,1.17%,20:20:00,00:19:00,38365033775.84,2099226790870.69,19875746.0
2025-06-06,101574.37,105376.77,101169.57,104390.35,103273.17,2.77%,15:17:00,00:23:00,48856653697.18,2074795695700.74,19875303.0
2025-06-05,104750.78,105936.69,100436.89,101575.95,103186.79,-3.03%,13:11:00,20:57:00,57479298399.76,2018776223605.26,19874859.0
2025-06-04,105434.37,105997.69,104232.7,104731.98,105115.2,-0.67%,10:16:00,14:07:00,44544857105.32,2081863721656.37,19874446.0
2025-06-03,105888.47,106813.58,104920.84,105432.47,105867.21,-0.43%,15:32:00,08:44:00,46196508367.02,2095409805425.64,19874068.0
2025-06-02,105649.81,105958.31,103727.55,105881.53,104842.93,0.22%,23:26:00,14:01:00,45819706290.18,2104387814851.39,19873625.0
2025-06-01,104637.3,105884.54,103826.96,105652.1,104855.75,0.97%,23:22:00,09:56:00,37397056873.12,2099597472488.37,19873178.0
2025-05-31,103994.72,104927.1,103136.11,104638.09,104031.61,0.62%,21:38:00,03:09:00,38997843858.47,2079433767578.83,19872778.0
2025-05-30,105646.21,106308.95,103685.79,103998.57,104997.37,-1.56%,05:41:00,23:36:00,57655287183.41,2066610850556.38,19872268.0
2025-05-29,107795.57,108910.05,105374.4,105641.76,107142.22,-2.0%,11:23:00,23:50:00,56022752042.28,2099378937278.93,19871787.0
2025-05-28,108992.17,109298.29,106812.93,107802.32,108055.61,-1.09%,01:01:00,20:03:00,49155377492.62,2142032300750.99,19871246.0
2025-05-27,109440.41,110744.21,107609.56,108994.64,109176.88,-0.41%,13:21:00,01:25:00,57450176271.9,2165759917665.08,19870784.0
2025-05-26,109023.78,110376.88,108735.64,109440.37,109556.26,0.38%,15:42:00,00:29:00,45950461570.55,2174618146067.49,19870340.0
2025-05-25,107802.27,109313.3,106683.37,109035.39,107998.34,1.14%,23:02:00,16:30:00,47518041840.84,2166289174480.45,19869878.0
2025-05-24,107278.51,109454.52,106895.29,107791.16,108174.9,0.48%,11:13:00,00:06:00,45903627162.57,2141965387828.07,19869390.0
2025-05-23,111679.36,111798.9,106841.3,107287.8,109320.1,-3.93%,00:14:00,23:50:00,67548133399.04,2131510862104.81,19868946.0
2025-05-22,109673.49,111970.17,109285.07,111673.28,110627.62,1.82%,17:35:00,00:44:00,70157575642.18,2218898497873.57,19868475.0
